X,Delta_g
214.405,0.0198256
217.739,0.01991
221.074,0.0199948
224.408,0.0200799
227.743,0.0201654
231.077,0.0202511
234.411,0.0203372
237.746,0.0204237
241.08,0.0205104
244.415,0.0205975
247.749,0.020685
251.084,0.0207727
254.418,0.0208608
257.753,0.0209492
261.087,0.0210379
264.421,0.021127
267.756,0.0212164
271.09,0.0213061
274.425,0.0213961
277.759,0.0214865
281.094,0.0215772
284.428,0.0216682
287.763,0.0217596
291.097,0.0218512
294.431,0.0219432
297.766,0.0220356
301.1,0.0221282
304.435,0.0222212
307.769,0.0223145
311.104,0.0224081
314.438,0.0225021
317.773,0.0225963
321.107,0.0226909
324.441,0.0227858
327.776,0.0228811
331.11,0.0229766
334.445,0.0230725
337.779,0.0231687
341.114,0.0232652
344.448,0.023362
347.783,0.0234592
351.117,0.0235566
354.451,0.0236544
357.786,0.0237525
361.12,0.0238509
364.455,0.0239496
367.789,0.0240486
371.124,0.024148
374.458,0.0242476
377.793,0.0243476
381.127,0.0244478
384.461,0.0245484
387.796,0.0246493
391.13,0.0247505
394.465,0.0248519
397.799,0.0249537
401.134,0.0250558
404.468,0.0251582
407.803,0.0252609
411.137,0.0253638
414.471,0.0254671
417.806,0.0255707
421.14,0.0256745
424.475,0.0257787
427.809,0.0258831
431.144,0.0259878
434.478,0.0260929
437.813,0.0261982
441.147,0.0263037
444.481,0.0264096
447.816,0.0265158
451.15,0.0266222
454.485,0.0267289
457.819,0.0268359
461.154,0.0269431
464.488,0.0270506
467.823,0.0271584
471.157,0.0272665
474.491,0.0273748
477.826,0.0274834
481.16,0.0275923
484.495,0.0277014
487.829,0.0278108
491.164,0.0279204
494.498,0.0280303
497.833,0.0281405
501.167,0.0282509
504.502,0.0283615
507.836,0.0284724
511.17,0.0285835
514.505,0.0286949
517.839,0.0288065
521.174,0.0289184
524.508,0.0290305
527.843,0.0291428
531.177,0.0292554
534.512,0.0293682
537.846,0.0294812
541.18,0.0295944
544.515,0.0297079
547.849,0.0298216
551.184,0.0299355
554.518,0.0300496
557.853,0.0301639
561.187,0.0302784
564.522,0.0303932
567.856,0.0305081
571.19,0.0306233
574.525,0.0307386
577.859,0.0308542
581.194,0.0309699
584.528,0.0310858
587.863,0.031202
591.197,0.0313183
594.532,0.0314347
597.866,0.0315514
601.2,0.0316683
604.535,0.0317853
607.869,0.0319025
611.204,0.0320199
614.538,0.0321374
617.873,0.0322551
621.207,0.0323729
624.542,0.0324909
627.876,0.0326091
631.21,0.0327274
634.545,0.0328459
637.879,0.0329645
641.214,0.0330833
644.548,0.0332022
647.883,0.0333212
651.217,0.0334404
654.552,0.0335597
657.886,0.0336791
661.22,0.0337987
664.555,0.0339184
667.889,0.0340381
671.224,0.0341581
674.558,0.0342781
677.893,0.0343982
681.227,0.0345185
684.562,0.0346388
687.896,0.0347592
691.23,0.0348798
694.565,0.0350004
697.899,0.0351211
701.234,0.035242
704.568,0.0353629
707.903,0.0354838
711.237,0.0356049
714.572,0.035726
717.906,0.0358472
721.24,0.0359685
724.575,0.0360898
727.909,0.0362112
731.244,0.0363327
734.578,0.0364542
737.913,0.0365758
741.247,0.0366974
744.582,0.0368191
747.916,0.0369408
751.25,0.0370625
754.585,0.0371843
757.919,0.0373061
761.254,0.0374279
764.588,0.0375498
767.923,0.0376717
771.257,0.0377936
774.592,0.0379156
777.926,0.0380375
781.26,0.0381595
784.595,0.0382814
787.929,0.0384034
791.264,0.0385254
794.598,0.0386473
797.933,0.0387693
801.267,0.0388913
804.602,0.0390132
807.936,0.0391352
811.27,0.0392571
814.605,0.039379
817.939,0.0395009
821.274,0.0396227
824.608,0.0397445
827.943,0.0398663
831.277,0.0399881
834.612,0.0401098
837.946,0.0402315
841.28,0.0403531
844.615,0.0404747
847.949,0.0405962
851.284,0.0407177
854.618,0.0408391
857.953,0.0409605
861.287,0.0410818
864.622,0.0412031
867.956,0.0413243
871.29,0.0414454
874.625,0.0415664
877.959,0.0416874
881.294,0.0418083
884.628,0.0419291
887.963,0.0420498
891.297,0.0421704
894.632,0.042291
897.966,0.0424114
901.3,0.0425318
904.635,0.0426521
907.969,0.0427723
911.304,0.0428923
914.638,0.0430123
917.973,0.0431322
921.307,0.0432519
924.642,0.0433716
927.976,0.0434911
931.31,0.0436105
934.645,0.0437298
937.979,0.043849
941.314,0.0439681
944.648,0.044087
947.983,0.0442058
951.317,0.0443245
954.652,0.0444431
957.986,0.0445615
961.32,0.0446798
964.655,0.0447979
967.989,0.0449159
971.324,0.0450338
974.658,0.0451515
977.993,0.0452691
981.327,0.0453866
984.662,0.0455039
987.996,0.045621
991.33,0.045738
994.665,0.0458549
997.999,0.0459715
1001.33,0.0460881
1004.67,0.0462044
1008,0.0463207
1011.34,0.0464367
1014.67,0.0465526
1018.01,0.0466683
1021.34,0.0467839
1024.67,0.0468993
1028.01,0.0470145
1031.34,0.0471296
1034.68,0.0472444
1038.01,0.0473591
1041.35,0.0474737
1044.68,0.0475881
1048.02,0.0477022
1051.35,0.0478163
1054.68,0.0479301
1058.02,0.0480437
1061.35,0.0481572
1064.69,0.0482705
1068.02,0.0483836
1071.36,0.0484966
1074.69,0.0486093
1078.03,0.0487219
1081.36,0.0488343
1084.69,0.0489465
1088.03,0.0490585
1091.36,0.0491703
1094.7,0.0492819
1098.03,0.0493934
1101.37,0.0495046
1104.7,0.0496157
1108.04,0.0497266
1111.37,0.0498373
1114.7,0.0499477
1118.04,0.0500581
1121.37,0.0501682
1124.71,0.0502781
1128.04,0.0503878
1131.38,0.0504974
1134.71,0.0506067
1138.05,0.0507159
